Montes Agricola,          29.06,  -54.07,  141
Montes Alpes,             48.36,   -0.58,  281
Montes Apenninus,         19.87,   -0.03,  401
Montes Archimedes,        25.39,    5.25,  163
Montes Carpatus,          14.57,  -23.62,  361
Montes Caucasus,          37.52,    9.93,  445
Montes Cordillera,       -17.50,  -79.50,  574
Montes Haemus,            17.11,   12.03,  560
Montes Harbinger,         26.89,  -41.29,   90
Montes Jura,              47.49,  -36.11,  422
Montes Pyrenaeus,        -14.05,   41.51,  164
Montes Recti,             48.30,  -19.72,   90
Montes Riphaeus,          -7.48,  -27.60,  189
Montes Rook,             -20.60,  -82.50,  791
Montes Secchi,             2.72,   43.17,   50
Montes Spitzbergen,       34.47,   -5.21,   60
Montes Taurus,            27.32,   40.34,  172
Montes Teneriffe,         47.89,  -13.19,  182
Crater Abbe,             -57.58,  174.77,    63.98  
Crater Abbot,              5.56,   54.74,     10.4  
Crater Abel,             -34.63,   85.78,   137.35
Crater Abenezra,         -20.99,   11.89,    43.19
Crater Abetti,            20.11,   27.82,     1.06
Crater Abul Wáfa,          0.96,  116.63,    54.18
Crater Abulfeda,         -13.87,   13.91,    62.23
Crater Acosta,            -5.65,   60.14,    13.06
Crater Adams,            -31.89,   68.39,    63.27
Crater Aepinus,           87.96, -109.69,    16.74
Crater Agatharchides,    -19.85,  -31.11,    51.98
Crater Agrippa,            4.01,   10.47,    43.75
Crater Airy,             -18.14,    5.61,    38.09
Crater Aitken,           -16.44,  172.96,   129.69
Crater Akis,              20.01,  -31.76,     2.28
Crater Alan,             -10.93,   -6.17,     1.44
Crater Al-Bakri,          14.34,   20.25,    12.21
Crater Albategnius,      -11.24,    4.01,   130.84
Crater Albert,            38.03,  -35.00,     0.01
Crater Al-Biruni,         18.07,   92.62,    80.41
Crater Alden,            -23.51,  111.11,   111.44
Crater Alder,            -48.63, -177.88,    82.12
Crater Aldrin,             1.41,   22.09,     2.08
Crater Alekhin,          -67.94, -131.85,    74.82
Crater Alexander,         40.25,   13.69,    94.08
Crater Alfraganus,        -5.42,   18.97,    20.52
Crater Alhazen,           15.91,   71.83,    34.65
Crater Aliacensis,       -30.06,    5.13,    79.65
Crater Al-Khwarizmi,       7.02,  107.01,    56.25
Crater Almanon,          -16.85,   15.14,    47.76
Crater Al-Marrakushi,    -10.45,   55.77,     8.57
Crater Aloha,             29.79,  -53.88,     2.55
Crater Alpetragius,      -16.05,   -4.51,    40.02
Crater Alphonsus,        -13.39,   -2.85,   110.54
